period,position,balance,profitloss,status
0,long,100,0,live
1,long,199.951880370685,-0.0481196293145274,live
2,long,299.816904007104,-0.183095992896256,live
3,long,399.739596100295,-0.260403899704499,live
4,long,500.056587458033,0.0565874580329933,live
5,long,599.838472342478,-0.161527657522356,live
6,long,700.030393656779,0.0303936567793244,live
7,long,800.104764521332,0.104764521332072,live
8,long,899.866325237596,-0.133674762404553,live
9,long,900.439541486226,0.439541486225721,exited
10,long,900.236187993595,0.236187993595308,exited
