period,maximum,minimum,mean,volatilty,fd,return
1,1.02555,1.025125,1.02531768802228,0.000424999999999898,0,0
2,1.02615,1.02515,1.02561115277778,0.00099999999999989,532000.000000059,0.00028621836814264
3,1.02635,1.025615,1.02602683333333,0.00073499999999993,338775.510204114,0.000405300346461627
4,1.02685,1.0259,1.026477125,0.000950000000000006,326315.789473682,0.000438869288831131
5,1.02685,1.02615,1.02654820833333,0.000700000000000145,279999.999999942,6.9249797781416e-05
6,1.02627,1.02555,1.02597233333333,0.000720000000000054,370833.333333306,-0.000560981934725886
7,1.02625,1.02565,1.02593229166667,0.000599999999999934,416666.666666713,-3.90280179742138e-05
8,1.02645,1.02587,1.02616545833333,0.000580000000000247,584482.758620441,0.000227272958031011
9,1.02675,1.02625,1.02648901388889,0.000499999999999723,594000.000000329,0.000315305444095652
10,1.02655,1.02613,1.02629120833333,0.000419999999999865,945238.095238399,-0.000192701093610543
11,1.02625,1.02585,1.02603751388889,0.000399999999999956,1072500.00000012,-0.000247195379230077
12,1.02625,1.025845,1.02601016666667,0.000405000000000211,1486419.75308565,-2.66532381634425e-05
13,1.02657,1.02585,1.02623098611111,0.000719999999999832,622222.222222368,0.000215221497426106
14,1.02675,1.02625,1.02649475,0.000499999999999723,604000.000000335,0.000257021949696419
15,1.02675,1.026185,1.02643754166667,0.000564999999999927,674336.283185928,-5.57317349489096e-05
16,1.02685,1.02615,1.02644016666667,0.000700000000000145,459999.999999905,2.55738892380294e-06
17,1.02675,1.02638,1.02650401388889,0.000369999999999759,681081.081081524,6.22025757523147e-05
18,1.02655,1.02614,1.02637251388889,0.000410000000000021,1407317.07317066,-0.000128104710961398
19,1.02645,1.02613,1.02623331944444,0.000320000000000098,1428124.99999956,-0.000135617860534139
20,1.02635,1.02595,1.02611326388889,0.000399999999999956,1380000.00000015,-0.000116986608484513
21,1.02615,1.02575,1.02592141666667,0.000399999999999956,1205000.00000013,-0.00018696495696284
22,1.02615,1.02575,1.02594611111111,0.000399999999999956,955000.000000105,2.40705029089172e-05
23,1.02605,1.02575,1.02588983333333,0.000300000000000189,1503333.33333239,-5.48545164002572e-05
24,1.02625,1.02575,1.02599141666667,0.000500000000000167,1331999.99999956,9.90197290514673e-05
25,1.02625,1.02585,1.02598670833333,0.000399999999999956,1162500.00000013,-4.58905723452459e-06
26,1.02645,1.026005,1.02617741666667,0.000445000000000029,1301123.59550553,0.000185877976570506
27,1.02625,1.02575,1.02598155555556,0.000500000000000167,941999.999999685,-0.000190864764640061
28,1.02605,1.02546,1.02573584722222,0.00059000000000009,571186.440677879,-0.000239486111619545
29,1.02605,1.02545,1.02570366666667,0.000599999999999934,550000.000000061,-3.13731411871754e-05
30,1.02575,1.025145,1.02532031944444,0.000604999999999967,540495.867768625,-0.000373740715452359
31,1.025275,1.02455,1.02492643055556,0.000725000000000087,474482.758620633,-0.000384161789656573
32,1.02525,1.02455,1.02499686111111,0.000699999999999923,404285.714285759,6.8717669342853e-05
33,1.02545,1.024935,1.02517501388889,0.000515000000000043,656310.679611596,0.000173808120333806
34,1.02575,1.02515,1.02549052777778,0.000599999999999934,735000.000000081,0.000307765878620271
35,1.02605,1.02555,1.02575602777778,0.000500000000000167,685999.999999771,0.000258900489871069
