period,maximum,minimum,mean,volatilty,fd,return
1,1.155405,1.1549,1.1551967270195,0.000504999999999978,0,0
2,1.1555,1.155085,1.15532118055556,0.000414999999999832,693975.903614739,0.000107733629386073
3,1.155505,1.15507,1.15532195833333,0.000434999999999963,1055172.41379319,6.73213467432928e-07
4,1.1555,1.1548,1.15511070833333,0.000699999999999923,612857.14285721,-0.000182849463282724
5,1.1552,1.1547,1.15498529166667,0.000499999999999945,452000.00000005,-0.000108575451480176
6,1.155405,1.1547,1.15512452777778,0.000704999999999956,486524.822695066,0.000120552280722379
7,1.1554,1.155015,1.15524816666667,0.000384999999999858,522077.922078115,0.000107035116920799
8,1.1557,1.1551,1.15543052777778,0.000599999999999934,801666.666666755,0.000157854490812605
9,1.1558,1.1554,1.15557509722222,0.000399999999999956,765000.000000084,0.00012512171088489
10,1.1557,1.1552,1.155397,0.000499999999999945,722000.00000008,-0.00015411998982186
11,1.155345,1.155,1.15517555555556,0.00034500000000004,797101.449275271,-0.000191660913473173
12,1.1554,1.155085,1.15522340277778,0.000314999999999843,1292063.49206414,4.14198707650568e-05
13,1.155625,1.1551,1.15527845833333,0.000525000000000109,919999.99999981,4.76579295599833e-05
14,1.155575,1.155,1.15525620833333,0.000574999999999992,563478.260869573,-1.92594260193343e-05
15,1.1554,1.155,1.15522018055556,0.000399999999999956,690000.000000076,-3.11859633541873e-05
16,1.1553,1.1549,1.15509245833333,0.000399999999999956,1287500.00000014,-0.000110560934072839
17,1.1553,1.1549,1.15507634722222,0.000399999999999956,962500.000000106,-1.3947897412873e-05
18,1.155605,1.1552,1.155454875,0.000404999999999989,972839.506172867,0.000327708015741118
19,1.1557,1.1554,1.15554644444444,0.000299999999999967,1263333.33333347,7.92496932814691e-05
20,1.155615,1.1553,1.15548427777778,0.000315000000000065,1425396.82539653,-5.37985011035922e-05
21,1.1555,1.155185,1.15533405555556,0.000315000000000065,1279365.07936481,-0.000130008019244501
22,1.1554,1.1552,1.15530559722222,0.000199999999999978,2465000.00000027,-2.46321253981549e-05
23,1.1557,1.1551,1.15534793055556,0.000599999999999934,1311666.66666681,3.6642541536231e-05
24,1.1556,1.1553,1.15546227777778,0.000299999999999967,766666.666666751,9.89721097843216e-05
25,1.1555,1.1552,1.15533466666667,0.000299999999999967,1406666.66666682,-0.0001104416072816
26,1.1555,1.155195,1.155350125,0.000305,1550819.67213115,1.3379961477296e-05
27,1.1556,1.1553,1.15546708333333,0.000299999999999967,1690000.00000019,0.000101231938961673
28,1.1555,1.1552,1.15536959722222,0.000299999999999967,1710000.00000019,-8.43694403045427e-05
29,1.1554,1.1551,1.15529227777778,0.000299999999999967,1450000.00000016,-6.69218271196081e-05
30,1.155305,1.1549,1.15519663888889,0.000404999999999767,1071604.93827222,-8.2783284133798e-05
31,1.1552,1.1548,1.15502795833333,0.000399999999999956,905000.0000001,-0.000146018911306438
32,1.155155,1.1547,1.15490806944444,0.000455000000000094,1026373.62637341,-0.000103797391244223
33,1.1554,1.1549,1.155176875,0.000499999999999945,742000.000000082,0.000232750608180299
34,1.155365,1.154985,1.15511466666667,0.000380000000000269,1039473.68420979,-5.38517820773186e-05
35,1.155405,1.1551,1.15528036111111,0.000305,1426229.50819672,0.000143444152538322
36,1.1554,1.1551,1.15524638888889,0.000299999999999967,1880000.00000021,-2.94060414820524e-05
37,1.1553,1.155,1.15518705555556,0.000299999999999967,1890000.00000021,-5.13598950871906e-05
38,1.1553,1.1548,1.15508583333333,0.000499999999999945,1154000.00000013,-8.7624096665131e-05
39,1.155065,1.1546,1.15482752777778,0.000464999999999938,750537.634408703,-0.000223624555077609
40,1.1551,1.154625,1.15485816666667,0.000475000000000225,705263.157894402,2.6531138331831e-05
41,1.15494,1.154385,1.15469229166667,0.000554999999999861,636036.036036195,-0.000143632356585187
42,1.154735,1.154,1.15433595833333,0.000735000000000152,567346.938775393,-0.000308595922831594
43,1.154335,1.1537,1.15399370833333,0.000635000000000163,521259.842519551,-0.000296490807142514
44,1.154255,1.1538,1.154016625,0.000455000000000094,606593.406593281,1.98585715860262e-05
45,1.1542,1.1535,1.15391894444444,0.000699999999999923,650000.000000072,-8.46439760395145e-05
46,1.1542,1.153895,1.15403508333333,0.000305,881967.213114755,0.000100647354346673
47,1.154495,1.153835,1.15423640277778,0.000659999999999883,974242.424242597,0.000174448287883134
48,1.154515,1.154,1.15427290277778,0.000515000000000043,666019.417475672,3.16226380591811e-05
49,1.154965,1.153885,1.15423961111111,0.00107999999999997,500000.000000014,-2.88421105497921e-05
50,1.154625,1.153735,1.15418463888889,0.000889999999999613,326966.292134973,-4.76263521829444e-05
51,1.154175,1.153535,1.15388565277778,0.000639999999999752,407812.500000158,-0.000259045304396833
52,1.153885,1.1526,1.15328865277778,0.00128499999999976,287937.743190716,-0.00051738228875867
53,1.1528,1.1521,1.15249993055556,0.000700000000000145,225714.285714239,-0.000683889692595663
54,1.1525,1.151975,1.152201125,0.000524999999999665,622857.142857541,-0.000259267308945732
55,1.1528,1.152085,1.15242297222222,0.000715000000000021,579020.979020962,0.000192542098257526
56,1.153,1.152235,1.15275131944444,0.000764999999999905,383006.53594776,0.000284919018569231
57,1.154115,1.152895,1.153608375,0.00122,279508.196721312,0.000743486943887122
58,1.155595,1.154035,1.15466397222222,0.00156000000000001,160897.435897435,0.000915039492689318
59,1.155665,1.154775,1.15528184722222,0.000890000000000057,184269.662921336,0.000535112391885721
60,1.155575,1.154895,1.15520602777778,0.000680000000000014,358823.529411757,-6.56285257375684e-05
61,1.155055,1.153505,1.15465658333333,0.00154999999999994,267096.774193559,-0.000475624634249386
62,1.154225,1.153425,1.15389834722222,0.000799999999999912,217500.000000024,-0.000656676731467828
63,1.154155,1.1532,1.153565375,0.000954999999999817,295287.95811524,-0.000288562872997976
64,1.153275,1.152565,1.15278863888889,0.000709999999999766,387323.943662099,-0.000673335146793102
65,1.154005,1.152865,1.15347859722222,0.00114000000000036,272807.017543773,0.000598512433292271
66,1.154225,1.153455,1.15377033333333,0.000769999999999715,275324.675324777,0.00025291852992658
67,1.1544,1.153595,1.15402188888889,0.000804999999999723,351552.795031177,0.000218029141751978
68,1.154345,1.153565,1.15409876388889,0.000780000000000225,355128.205128103,6.66148543111386e-05
69,1.154825,1.153525,1.15400215277778,0.00130000000000008,216923.076923064,-8.37113028226463e-05
70,1.155375,1.1545,1.15484633333333,0.000874999999999737,211428.571428635,0.000731524246747245
71,1.155585,1.154465,1.15483306944444,0.00111999999999979,228571.428571472,-1.14854145578995e-05
72,1.1557,1.1552,1.15544552777778,0.000499999999999945,288000.000000032,0.000530343605096084
73,1.1559,1.155365,1.15564555555556,0.00053499999999973,779439.252336842,0.000173117445149092
74,1.156785,1.1557,1.15631256944444,0.00108500000000022,446082.949308663,0.000577178604358517
75,1.157,1.156295,1.15660075,0.000704999999999956,302127.659574487,0.000249223750714862
76,1.157415,1.1565,1.15679266666667,0.000914999999999999,412021.857923498,0.000165931646392781
77,1.158335,1.157045,1.15761936111111,0.00129000000000001,234883.72093023,0.000714643572928893
78,1.158205,1.1574,1.15785744444444,0.000805000000000167,224844.720496848,0.000205666336735062
79,1.1581,1.157505,1.15782186111111,0.000595000000000123,406722.689075546,-3.07320503954573e-05
80,1.158,1.157145,1.15766954166667,0.00085500000000005,401169.590643251,-0.000131556891055942
81,1.157715,1.157015,1.15740561111111,0.000700000000000145,378571.42857135,-0.000227984365189094
82,1.158445,1.157615,1.15807972222222,0.000830000000000108,460240.963855362,0.000582432903935807
83,1.158325,1.1573,1.15780880555556,0.00102500000000005,319024.390243886,-0.000233936111191643
84,1.157615,1.1572,1.15743330555556,0.000414999999999832,546987.95180745,-0.000324319523394611
85,1.1576,1.156795,1.15727661111111,0.000805000000000167,745341.614906678,-0.000135380970715586
86,1.158045,1.156995,1.15747859722222,0.00104999999999977,279047.619047679,0.000174535723933087
87,1.158,1.156905,1.15753006944444,0.00109499999999985,237442.922374463,4.44692647844748e-05
88,1.157405,1.156905,1.15717091666667,0.000499999999999723,394000.000000218,-0.000310275117043272
89,1.1579,1.157155,1.15748294444444,0.000744999999999996,688590.60402685,0.000269647096452069
90,1.1579,1.157,1.15748884722222,0.000899999999999901,341111.111111149,5.09966717523498e-06
91,1.157805,1.157195,1.15752940277778,0.000609999999999999,468852.459016394,3.50375346191436e-05
92,1.157725,1.156595,1.15718851388889,0.0011300000000003,360176.991150348,-0.0002944969588426
93,1.157015,1.155805,1.15627970833333,0.00120999999999993,221487.603305797,-0.000785356529768291
94,1.156655,1.155485,1.15606943055556,0.00117000000000012,171794.871794855,-0.00018185718927908
95,1.156625,1.15579,1.15617272222222,0.000834999999999919,239520.958083856,8.93472865355027e-05
96,1.156185,1.155525,1.15578683333333,0.000659999999999883,395454.545454616,-0.000333764048806738
97,1.156125,1.155395,1.15570301388889,0.000729999999999897,553424.657534324,-7.25215429239999e-05
98,1.155985,1.154905,1.15530569444444,0.00107999999999997,422222.222222234,-0.000343790264167842
99,1.156005,1.154955,1.15548040277778,0.00104999999999977,256190.476190531,0.000151222602098599
100,1.1556,1.155115,1.15537025,0.000485000000000069,459793.814432925,-9.53307191647622e-05
101,1.1556,1.154985,1.1552395,0.000615000000000032,708943.089430857,-0.000113167186016836
102,1.155705,1.154765,1.155148375,0.000940000000000385,489361.702127459,-7.88797474462825e-05
103,1.1556,1.154685,1.15512931944444,0.000914999999999777,351912.568306097,-1.64961973438958e-05
104,1.1562,1.1552,1.15580775,0.00100000000000011,281999.999999968,0.000587320003168042
105,1.1561,1.155195,1.15550191666667,0.000904999999999934,250828.729281786,-0.000264605712613927
106,1.155355,1.1545,1.15500091666667,0.00085500000000005,308771.929824543,-0.000433577818239665
107,1.1553,1.1545,1.15492959722222,0.000799999999999912,292500.000000032,-6.174838774192e-05
108,1.1552,1.1543,1.15474006944444,0.000899999999999901,284444.444444476,-0.000164103316975614
109,1.154515,1.1542,1.15437545833333,0.000315000000000065,692063.492063349,-0.000315751674995325
110,1.154665,1.1539,1.15434233333333,0.000765000000000127,938562.091503113,-2.86951699817488e-05
111,1.154935,1.1545,1.1547355,0.000434999999999963,503448.275862112,0.000340597979744022
112,1.1549,1.1544,1.15467906944444,0.000500000000000167,791999.999999736,-4.88688150277589e-05
