period,maximum,minimum,mean,volatilty,fd,return
1,0.6617,0.6613,0.661481044568245,0.000399999999999956,0,0
2,0.6621,0.6613,0.661688930555556,0.000800000000000023,586249.999999983,0.000314273536660529
3,0.662305,0.661745,0.6619985,0.000560000000000005,414285.714285711,0.000467847397997824
4,0.6624,0.6618,0.662185888888889,0.000600000000000045,563333.333333291,0.000283065428228187
5,0.6625,0.6618,0.662252652777778,0.000700000000000034,508571.428571404,0.000100823484778509
6,0.662,0.6612,0.661621180555556,0.000800000000000023,318749.999999991,-0.000953521619843411
7,0.6619,0.66126,0.661616875,0.000639999999999974,340625.000000014,-6.5075842220059e-06
8,0.6619,0.6614,0.661598708333333,0.000499999999999945,620000.000000068,-2.74579856607383e-05
9,0.662,0.6615,0.661769472222222,0.000499999999999945,596000.000000066,0.000258107953866937
10,0.66175,0.6612,0.661485083333333,0.00055000000000005,638181.81818176,-0.000429740114686695
11,0.66138,0.6608,0.661109263888889,0.000580000000000025,655172.413793075,-0.000568145002681857
12,0.6616,0.6611,0.661322416666667,0.000499999999999945,686000.000000076,0.000322416867257218
13,0.66215,0.6613,0.661732222222222,0.000850000000000017,496470.588235284,0.000619675887627057
14,0.662,0.6613,0.661657597222222,0.000699999999999923,350000.000000039,-0.000112772202250483
15,0.6622,0.6617,0.661888958333333,0.000500000000000056,501999.999999944,0.000349668940676446
16,0.6623,0.6617,0.662021083333333,0.000600000000000045,698333.333333281,0.000199618075413472
17,0.66244,0.6618,0.662102861111111,0.000639999999999974,485937.50000002,0.000123527452277032
18,0.6621,0.6617,0.661855125,0.000400000000000067,792499.999999867,-0.0003741655951997
19,0.662,0.6615,0.661805458333333,0.000500000000000056,993999.999999889,-7.50415986681762e-05
20,0.6617,0.6613,0.661487,0.000399999999999956,830000.000000091,-0.000481196293145301
21,0.6617,0.661145,0.661457347222222,0.000554999999999972,709909.909909946,-4.48274535671566e-05
22,0.6616,0.6612,0.661416263888889,0.000399999999999956,897500.000000099,-6.21103288155199e-05
23,0.6619,0.6614,0.661590097222222,0.000499999999999945,1258000.00000014,0.00026281986522563
24,0.6624,0.6617,0.6621135,0.000700000000000034,511428.571428547,0.000791128494781461
25,0.6623,0.662,0.662178027777778,0.000299999999999967,863333.333333428,9.74572754941238e-05
26,0.6625,0.6621,0.662313041666667,0.000399999999999956,1530000.00000017,0.000203893640720791
27,0.6625,0.661795,0.662178666666667,0.000704999999999956,651063.829787275,-0.000202887443771112
28,0.662,0.6615,0.661790777777778,0.000500000000000056,541999.999999939,-0.000585776782633973
29,0.6621,0.6616,0.661870208333333,0.000500000000000056,845999.999999905,0.000120023666425515
30,0.661865,0.6611,0.661423416666667,0.000765000000000016,426143.790849665,-0.000675044232299995
31,0.661305,0.660645,0.660917986111111,0.000659999999999994,387878.787878791,-0.000764155823364732
32,0.661,0.6605,0.660705583333333,0.000500000000000056,469999.999999947,-0.000321375393378941
33,0.661005,0.6606,0.660854986111111,0.000404999999999989,861728.395061753,0.000226126101468672
34,0.6615,0.6606,0.661128763888889,0.000899999999999901,548888.888888949,0.000414278145026792
35,0.661615,0.6612,0.6614125,0.000415000000000054,493975.903614393,0.000429169212729449
36,0.6616,0.660985,0.661317055555556,0.000614999999999921,891056.91056922,-0.000144303962269273
37,0.6611,0.6605,0.660858638888889,0.000600000000000045,499999.999999963,-0.000693187424724105
38,0.661065,0.66048,0.660718958333333,0.000585000000000058,451282.051282007,-0.000211362229886732
39,0.66112,0.6606,0.660912958333333,0.000519999999999854,517307.692307838,0.00029361954512291
40,0.661,0.6605,0.660742541666667,0.000500000000000056,749999.999999916,-0.000257850393940479
41,0.66118,0.6605,0.660842986111111,0.000680000000000014,620588.235294105,0.00015201752287827
42,0.6612,0.66058,0.660822833333333,0.000620000000000065,480645.161290272,-3.04955612775373e-05
43,0.6611,0.66043,0.660837819444444,0.000669999999999948,489552.238806008,2.2677955959037e-05
44,0.661415,0.6607,0.661083583333333,0.00071499999999991,379020.979021027,0.000371897433315155
45,0.6615,0.660965,0.661241930555556,0.000534999999999952,600000.000000054,0.000239526780295716
46,0.6622,0.6612,0.661795027777778,0.001,347000.0,0.00083645213145738
47,0.6624,0.661625,0.661998319444445,0.00077499999999997,273548.387096785,0.000307182221282923
48,0.662065,0.661135,0.66152075,0.000929999999999986,336559.139784951,-0.000721405825992623
49,0.6621,0.6612,0.661591972222222,0.000900000000000012,306666.666666663,0.000107664381234032
50,0.66355,0.661565,0.662116611111111,0.00198500000000013,177329.974811072,0.00079299464158651
51,0.663655,0.662175,0.662792402777778,0.00148000000000004,87162.16216216,0.00102065354550249
52,0.662405,0.661525,0.662046138888889,0.000879999999999992,212500.000000002,-0.00112593911119269
53,0.663055,0.661625,0.662546680555556,0.00142999999999993,208391.608391618,0.000756052542662277
54,0.663375,0.662465,0.662982,0.000910000000000077,198901.098901082,0.000657039658065139
55,0.663405,0.6628,0.663082319444445,0.000604999999999967,441322.314049611,0.000151315487365497
56,0.663435,0.6625,0.662916638888889,0.000935000000000019,449197.860962558,-0.000249864233590894
57,0.663515,0.66246,0.662828833333333,0.00105500000000003,250236.966824638,-0.000132453389166265
58,0.664605,0.663265,0.663979277777778,0.00134000000000001,218656.716417909,0.00173565841826603
59,0.665,0.664255,0.664543388888889,0.000744999999999996,265771.812080538,0.000849591440562844
60,0.6646,0.6639,0.664253527777778,0.000700000000000034,508571.428571404,-0.000436180866377608
61,0.6646,0.663845,0.664196125,0.00075499999999995,507284.768211954,-8.64169708963512e-05
62,0.664225,0.6638,0.664028638888889,0.000425000000000009,729411.764705867,-0.000252163637827863
63,0.6644,0.6639,0.664154902777778,0.000500000000000056,1033999.99999988,0.000190148257912788
64,0.664645,0.664,0.664305944444445,0.000645000000000007,573643.410852707,0.000227419335511888
65,0.664815,0.6643,0.664580972222222,0.000514999999999932,547572.815534053,0.000414007702441643
66,0.6646,0.6641,0.664320291666667,0.000499999999999945,840000.000000093,-0.000392247997537384
67,0.664825,0.664065,0.664392180555556,0.000759999999999983,469736.842105274,0.000108214199973668
