period,position,balance,profitloss,status
0,short,100,0,live
1,short,199.988301339152,0.0116986608484524,live
2,short,299.913557568327,0.0864424316730492,live
3,short,399.780536096582,0.219463903418102,live
4,short,399.565571613293,0.4344283867066,exited
5,short,399.565571613293,0.4344283867066,exited
6,short,399.565571613293,0.4344283867066,exited
7,short,399.565571613293,0.4344283867066,exited
8,short,399.565571613293,0.4344283867066,exited
9,short,399.565571613293,0.4344283867066,exited
10,short,399.38271624094,0.61728375905966,exited
