period,position,balance,profitloss,status
0,short,100,0,live
1,short,199.99462014989,0.00537985011035858,live
2,short,299.978063938425,0.0219360615754454,live
3,short,399.986022697935,0.0139773020645748,live
4,short,499.96697282275,0.0330271772498349,live
5,short,599.934160727406,0.065839272593621,live
6,short,599.495294342382,0.504705657617706,exited
7,short,599.495294342382,0.504705657617706,exited
8,short,599.495294342382,0.504705657617706,exited
9,short,599.495294342382,0.504705657617706,exited
10,short,599.512496961757,0.48750303824329,exited
