period,maximum,minimum,mean,volatilty,fd,return
1,1.34395,1.343535,1.34368746518106,0.000415000000000054,0,0
2,1.34405,1.34315,1.34356901388889,0.000900000000000123,517777.777777707,-8.81539012896394e-05
3,1.34345,1.34272,1.34301077777778,0.000729999999999897,398630.136986357,-0.000415487485451275
4,1.34295,1.342185,1.34251193055556,0.000765000000000127,346405.228758113,-0.000371439477982214
5,1.34275,1.342045,1.34228666666667,0.000705000000000178,373049.645389977,-0.000167792839498763
6,1.34305,1.342375,1.34265355555556,0.000674999999999759,376296.296296431,0.000273331247340711
7,1.343265,1.342615,1.34284605555556,0.000650000000000262,489230.769230572,0.000143372800230949
8,1.34342,1.34285,1.34309161111111,0.000570000000000182,515789.473684046,0.000182862029895169
9,1.34305,1.342625,1.34283793055556,0.000424999999999898,856470.5882355,-0.000188878073138779
10,1.34315,1.342645,1.3428245,0.000504999999999978,944554.455445586,-1.0001620634826e-05
11,1.34365,1.34285,1.34319366666667,0.000800000000000134,527499.999999912,0.000274918030365496
12,1.343455,1.342885,1.34320918055556,0.000570000000000182,373684.210526197,1.155000151793e-05
13,1.34355,1.342895,1.34317975,0.000655000000000072,635114.503816724,-2.19106271618207e-05
14,1.34335,1.342835,1.343078,0.000515000000000043,648543.689320334,-7.57530777247137e-05
15,1.34345,1.342905,1.34306883333333,0.000544999999999796,678899.082569062,-6.82511862052368e-06
16,1.34335,1.342635,1.34294829166667,0.000715000000000021,423776.223776211,-8.97509224211403e-05
17,1.34295,1.342455,1.34270961111111,0.000495000000000134,587878.787878628,-0.000177728775587803
18,1.34305,1.34265,1.34285623611111,0.000399999999999956,995000.00000011,0.000109200827034256
19,1.34315,1.342795,1.34294315277778,0.000355000000000105,1329577.46478834,6.4725221009743e-05
20,1.34355,1.343025,1.34322752777778,0.000525000000000109,1137142.85714262,0.000211755054122495
21,1.34355,1.34302,1.34321383333333,0.000529999999999919,758490.566037851,-1.0195178524124e-05
22,1.34345,1.343045,1.34320120833333,0.000404999999999767,1064197.53086481,-9.39909915087092e-06
23,1.34345,1.34294,1.34317408333333,0.000509999999999788,872549.019608205,-2.01942939238142e-05
24,1.34315,1.34254,1.34277005555556,0.000609999999999999,752459.016393443,-0.000300800754564005
25,1.34295,1.34261,1.34273034722222,0.000340000000000007,935294.11764704,-2.9571953268659e-05
26,1.34285,1.34245,1.34264631944444,0.000399999999999956,1550000.00000017,-6.25797859947542e-05
27,1.34305,1.342635,1.34280880555556,0.000414999999999832,1236144.57831375,0.000121019295072712
28,1.34315,1.342815,1.34299195833333,0.000335000000000196,1041791.04477551,0.000136395276095938
29,1.34325,1.34275,1.34298963888889,0.000499999999999723,1194000.00000066,-1.72707247434903e-06
30,1.34355,1.34295,1.34330408333333,0.000599999999999934,586666.666666731,0.00023413765478091
31,1.34395,1.34335,1.34358404166667,0.000599999999999934,583333.333333398,0.000208410245161002
32,1.34385,1.343365,1.34357590277778,0.000485000000000069,806185.567010195,-6.05759568173071e-06
33,1.34385,1.34325,1.34348238888889,0.000600000000000156,733333.333333143,-6.96007487895258e-05
34,1.34365,1.342915,1.34321311111111,0.00073499999999993,436734.693877593,-0.000200432681518563
35,1.34315,1.34275,1.34293527777778,0.000399999999999956,667500.000000073,-0.000206842332787748
36,1.34337,1.34275,1.34297634722222,0.000619999999999843,838709.677419567,3.05818494189344e-05
37,1.34385,1.343115,1.34337904166667,0.00073499999999993,491156.462585081,0.000299852223963253
38,1.34395,1.343315,1.34362913888889,0.000634999999999941,447244.09448823,0.000186170257585566
39,1.34405,1.343425,1.34364404166667,0.000625000000000098,489599.999999923,1.10914368753191e-05
40,1.34415,1.34358,1.34386941666667,0.000569999999999959,561403.50877197,0.000167734156525955
41,1.344165,1.343065,1.34365075,0.0011000000000001,336363.636363606,-0.000162714222047848
42,1.34405,1.343505,1.34382577777778,0.00054500000000024,355963.302752137,0.000130262851249026
43,1.344375,1.343635,1.34391995833333,0.000740000000000185,520270.27027014,7.00839030721663e-05
44,1.34405,1.34315,1.34356248611111,0.000900000000000123,423333.333333276,-0.000265992196935372
45,1.3438,1.343185,1.34350125,0.00061499999999981,409756.097561102,-4.55774195426082e-05
46,1.34355,1.342415,1.34281802777778,0.00113500000000011,361233.480176177,-0.000508538583214693
47,1.342705,1.342015,1.34242855555556,0.000690000000000079,275362.318840548,-0.000290040954295738
48,1.34315,1.341945,1.34264669444444,0.00120500000000012,268879.668049765,0.000162495715683439
49,1.34305,1.342035,1.34252568055556,0.00101499999999977,192118.226601029,-9.01308507961868e-05
50,1.342165,1.340285,1.34158083333333,0.0018800000000001,130851.06382978,-0.00070378335096817
51,1.342045,1.340325,1.34122480555556,0.00171999999999994,66860.4651162813,-0.000265379296522358
52,1.342675,1.34175,1.342132,0.000924999999999843,147027.027027052,0.000676392533665349
53,1.34265,1.341435,1.34185820833333,0.00121499999999997,202469.135802475,-0.000203997570035312
54,1.342015,1.341275,1.341552,0.000739999999999963,239189.189189201,-0.000228197235320205
55,1.34195,1.341285,1.34162244444444,0.000664999999999916,455639.097744419,5.25096637658272e-05
56,1.34205,1.34085,1.341457125,0.00119999999999987,324166.666666702,-0.000123223523226505
57,1.34205,1.34076,1.34150356944444,0.00129000000000001,143410.852713177,3.46223845540878e-05
58,1.340905,1.3399,1.34037529166667,0.00100499999999992,214925.373134345,-0.00084105462219915
59,1.34035,1.339455,1.33992779166667,0.000894999999999868,254748.603351993,-0.000333861719760216
60,1.34055,1.33975,1.34013230555556,0.000799999999999912,296250.000000033,0.000152630529914216
61,1.34095,1.340015,1.340357625,0.000934999999999908,372192.513369021,0.000168132238518767
62,1.340815,1.34035,1.34055994444444,0.00046500000000016,513978.494623479,0.000150944375344966
63,1.34085,1.340085,1.34044829166667,0.000765000000000127,637908.496731921,-8.32881649496662e-05
64,1.340665,1.339915,1.34034772222222,0.000750000000000028,318666.666666655,-7.50267243201224e-05
65,1.34045,1.33972,1.34000611111111,0.000730000000000119,446575.34246568,-0.00025486752836424
66,1.34025,1.33985,1.34006656944444,0.000400000000000178,714999.999999682,4.51179534422618e-05
67,1.34045,1.33951,1.33997180555556,0.000940000000000163,599999.999999896,-7.07158069978253e-05
68,1.33985,1.339405,1.33962411111111,0.000445000000000029,435955.056179747,-0.000259478925603299
69,1.340655,1.339535,1.33980181944444,0.00111999999999979,434821.428571511,0.000132655370905515
70,1.33975,1.338815,1.33923947222222,0.000934999999999908,203208.556149753,-0.000419724181637297
71,1.339415,1.33855,1.33889609722222,0.000864999999999894,269364.161849744,-0.000256395519338998
72,1.339455,1.338535,1.33901744444444,0.000920000000000032,283695.652173903,9.06322921351999e-05
73,1.33975,1.33905,1.339341625,0.000700000000000145,365714.28571421,0.000242103310080391
74,1.33985,1.339045,1.33941872222222,0.000804999999999945,378881.987577666,5.75635228408417e-05
75,1.33985,1.33895,1.33938588888889,0.000899999999999901,276666.666666697,-2.45131210938923e-05
76,1.3396,1.338645,1.33910236111111,0.000954999999999817,258638.743455547,-0.000211684907337022
77,1.33955,1.33895,1.33921597222222,0.000599999999999934,356666.666666706,8.48412447103986e-05
78,1.33965,1.338745,1.33918636111111,0.000904999999999934,360220.994475165,-2.21107810282402e-05
79,1.34035,1.339485,1.33992723611111,0.000864999999999894,203468.208092511,0.000553227707147121
80,1.340395,1.339655,1.34004651388889,0.000739999999999963,293243.243243258,8.90181008066008e-05
81,1.34015,1.339115,1.33964377777778,0.0010349999999999,306280.193236745,-0.000300538904386556
82,1.34015,1.339425,1.33982791666667,0.000725000000000087,248275.862068936,0.00013745362158474
83,1.340765,1.339705,1.34036986111111,0.00106000000000006,249056.603773571,0.000404488097092815
84,1.340755,1.340035,1.34038415277778,0.000719999999999832,294444.444444513,1.06624798732267e-05
85,1.340845,1.340125,1.34046172222222,0.000720000000000054,398611.111111081,5.78710545656757e-05
86,1.340855,1.33981,1.34030488888889,0.00104499999999996,347368.421052644,-0.000116999486619636
