period,position,balance,profitloss,status
0,long,100,0,live
1,long,200.005088119629,0.00508811962907885,live
2,long,300.017197269474,0.0171972694737406,live
3,long,400.052623007267,0.0526230072665044,live
4,long,400.442844625648,0.442844625647751,exited
5,long,400.442844625648,0.442844625647751,exited
6,long,400.442844625648,0.442844625647751,exited
7,long,400.442844625648,0.442844625647751,exited
8,long,400.442844625648,0.442844625647751,exited
9,long,400.442844625648,0.442844625647751,exited
10,long,400.442844625648,0.442844625647751,exited
