period,maximum,minimum,mean,volatilty,fd,return
1,7.1653,7.1653,7.1653,0,0,0
2,7.1653,7.1652,7.16529694444445,9.99999999997669e-05,0,-4.26437909821292e-07
3,7.1653,7.1653,7.1653,0,0,4.26438091794616e-07
4,7.1653,7.1581,7.16505833333333,0.0072000000000001,0,-3.37273619620526e-05
5,7.1608,7.1484,7.15127472222222,0.0123999999999995,15161.2903225812,-0.00192372629361421
6,7.1538,7.1498,7.15225694444445,0.00400000000000045,6249.9999999993,0.000137349250361075
7,7.1537,7.1497,7.15159805555556,0.00400000000000134,37499.9999999875,-9.21232128552255e-05
8,7.154,7.1514,7.15301888888889,0.00259999999999927,31923.0769230859,0.000198673544331647
9,7.1549,7.1532,7.15371055555556,0.00169999999999959,57058.8235294255,9.66957696337199e-05
10,7.1551,7.1535,7.15468055555556,0.00160000000000071,73124.9999999675,0.000135593967979185
11,7.156,7.1547,7.15515027777778,0.00130000000000052,90769.2307691943,6.56524380890478e-05
12,7.1551,7.1547,7.15493638888889,0.000399999999999956,157500.000000017,-2.98929974332727e-05
13,7.1551,7.1531,7.15445861111111,0.00199999999999978,168000.000000019,-6.67759644266141e-05
14,7.1541,7.1524,7.15327305555555,0.00169999999999959,44705.8823529519,-0.000165708632895656
15,7.154,7.1521,7.15308361111111,0.00190000000000001,61052.631578947,-2.6483603096177e-05
16,7.1542,7.1522,7.15365777777778,0.00199999999999889,50000.0000000277,8.02684126009352e-05
17,7.1542,7.1511,7.15224277777778,0.00309999999999988,45483.8709677437,-0.0001978009074456
18,7.1521,7.1513,7.15170583333333,0.000799999999999912,55000.0000000061,-7.50735763771795e-05
19,7.1521,7.1512,7.15173611111111,0.000900000000000567,101111.111111047,4.23364417999238e-06
20,7.1521,7.1521,7.1521,0,101111.111111047,5.08811962908379e-05
21,7.1525,7.152,7.15208555555556,0.000500000000000611,599999.999999267,-2.01960884857194e-06
22,7.1524,7.1521,7.15236611111111,0.000300000000000189,26666.6666666499,3.92270972399589e-05
23,7.1523,7.1518,7.15208638888889,0.000500000000000611,347999.999999575,-3.91090469752006e-05
24,7.1523,7.1515,7.15203583333333,0.000799999999999912,285000.000000031,-7.06864442141987e-06
25,7.1522,7.152,7.15203472222222,0.00020000000000131,99999.9999993449,-1.55355920671419e-07
26,7.1523,7.1518,7.15219138888889,0.000500000000000611,497999.999999391,2.19051882087052e-05
27,7.1529,7.1517,7.15205083333333,0.00120000000000076,229999.999999855,-1.96520965270637e-05
28,7.153,7.1528,7.15286027777778,0.000200000000000422,149999.999999683,0.000113176550797629
29,7.153,7.1525,7.15271638888889,0.000500000000000611,547999.99999933,-2.01162728338315e-05
30,7.1534,7.1525,7.15314944444445,0.000899999999999679,232222.222222305,6.05442089425708e-05
31,7.1544,7.1532,7.15360611111111,0.00120000000000076,110833.333333264,6.38413429236018e-05
32,7.1556,7.1542,7.15481166666667,0.00140000000000029,82142.8571428401,0.000168524173239606
33,7.156,7.155,7.15536277777778,0.00100000000000122,97999.9999998802,7.70266412011703e-05
34,7.1574,7.1557,7.15682388888889,0.00170000000000048,164705.882352895,0.000204198047881977
35,7.1564,7.1549,7.15543194444445,0.00150000000000006,74666.6666666638,-0.000194491923519816
36,7.1586,7.1548,7.15565222222222,0.00380000000000003,63947.3684210522,3.07846932912934e-05
37,7.1622,7.1582,7.15985805555555,0.00400000000000045,25749.9999999971,0.000587763798843015
38,7.1621,7.1589,7.16069777777778,0.00320000000000054,21562.4999999964,0.000117281965048431
39,7.1593,7.1579,7.15857694444444,0.00140000000000029,46428.5714285618,-0.000296176908892214
40,7.1598,7.1591,7.15942222222222,0.000700000000000145,95714.2857142659,0.000118079023853148
41,7.1624,7.1596,7.161305,0.00280000000000058,88928.571428553,0.000262979011341776
42,7.1638,7.1612,7.16251666666667,0.00260000000000016,44999.9999999973,0.000169196349920479
43,7.165,7.1635,7.16438694444445,0.00150000000000006,57333.3333333312,0.000261120199060904
44,7.1653,7.1616,7.16451916666667,0.00370000000000026,81621.6216216159,1.84554831065185e-05
45,7.1622,7.1611,7.16140111111111,0.00110000000000099,36363.6363636037,-0.000435207929942216
46,7.1618,7.1596,7.16091666666667,0.0022000000000002,83181.8181818105,-6.76466011227256e-05
47,7.1603,7.1584,7.15911861111111,0.00189999999999912,60000.0000000276,-0.000251092931150327
48,7.1596,7.1584,7.15878277777778,0.00119999999999898,48333.3333333744,-4.69098713925148e-05
49,7.1597,7.1562,7.15812805555555,0.00349999999999984,87714.2857142898,-9.14571991564614e-05
50,7.1564,7.149,7.15114583333333,0.00739999999999963,38108.10810811,-0.000975425721366182
51,7.1491,7.1347,7.14383277777778,0.0144000000000002,25902.7777777774,-0.00102264108801524
52,7.142,7.1385,7.14043333333333,0.00349999999999895,5714.28571428743,-0.00047585722541245
53,7.1425,7.1364,7.13937166666667,0.00609999999999999,30655.7377049181,-0.000148683786698296
54,7.1407,7.1368,7.13894875,0.00390000000000068,32820.5128205071,-5.92372391314308e-05
55,7.1379,7.1367,7.13742916666667,0.00120000000000076,41666.6666666404,-0.000212858137317878
56,7.1392,7.1367,7.13809055555556,0.00250000000000128,88399.9999999548,9.2664862017413e-05
57,7.1411,7.1387,7.14013361111111,0.00239999999999974,67500.0000000074,0.000286218777928544
58,7.139,7.1327,7.13747416666667,0.00629999999999953,51904.7619047658,-0.00037246424076784
59,7.1347,7.1324,7.13288,0.00229999999999997,11739.1304347828,-0.000643668412576798
60,7.1337,7.1322,7.13307027777778,0.00149999999999917,66000.0000000366,2.66761501353704e-05
61,7.1347,7.1335,7.13415027777778,0.00120000000000076,56666.666666631,0.000151407452603485
62,7.1372,7.1344,7.13564805555556,0.00280000000000058,92499.9999999809,0.000209944803439892
63,7.137,7.136,7.13682805555555,0.00100000000000122,26999.999999967,0.00016536690021858
64,7.1369,7.1357,7.13652111111111,0.00120000000000076,64999.9999999591,-4.30085245228593e-05
65,7.1358,7.1358,7.1358,0,64999.9999999591,-0.000101045187127163
66,7.1358,7.1358,7.1358,0,64999.9999999591,0
67,7.1375,7.1358,7.1359175,0.00169999999999959,176470.588235337,1.64662686733239e-05
68,7.1375,7.137,7.13739833333333,0.000499999999998835,48000.0000001119,0.000207518281052318
69,7.1375,7.1363,7.13678972222222,0.00119999999999898,154166.666666798,-8.52707222838343e-05
70,7.1367,7.1363,7.13641166666667,0.000399999999999068,112500.000000262,-5.29727749129237e-05
71,7.1375,7.1361,7.13708027777778,0.00139999999999851,345000.000000366,9.36900983774595e-05
72,7.1376,7.1373,7.13749083333333,0.000300000000000189,43333.333333306,5.75243011955632e-05
73,7.1376,7.1376,7.1376,0,43333.333333306,1.52948240797109e-05
74,7.1376,7.1376,7.1376,0,43333.333333306,0
75,7.1376,7.1374,7.13759861111111,0.000200000000000422,0,-1.94587660761979e-07
76,7.1376,7.1374,7.137595,0.000200000000000422,4999.99999998945,-5.05928017125338e-07
77,7.1376,7.1373,7.13742694444444,0.000300000000000189,193333.333333212,-2.35451234704392e-05
78,7.1383,7.1371,7.13776138888889,0.00119999999999987,675833.333333408,4.685784485761e-05
79,7.1388,7.1372,7.13819194444444,0.00159999999999982,62500.0000000069,6.03208109794991e-05
80,7.1386,7.1386,7.1386,0,62500.0000000069,5.71651139012613e-05
81,7.1386,7.1386,7.1386,0,62500.0000000069,0
82,7.1386,7.1386,7.1386,0,62500.0000000069,0
83,7.1386,7.1386,7.1386,0,62500.0000000069,0
84,7.1386,7.1386,7.1386,0,62500.0000000069,0
85,7.139,7.1386,7.13867555555555,0.000399999999999068,0,1.05840858930393e-05
86,7.1391,7.1387,7.13905,0.000399999999999956,400000.000000044,5.24529293329557e-05
87,7.1405,7.1391,7.1391175,0.0013999999999994,67142.8571428858,9.45503953608801e-06
88,7.144,7.1391,7.14361972222222,0.00490000000000013,21632.6530612239,0.000630641283355038
89,7.1441,7.1438,7.14390194444445,0.000299999999999301,10000.0000000233,3.95068933114191e-05
90,7.1439,7.1439,7.1439,0,10000.0000000233,-2.72182409637986e-07
91,7.1439,7.1425,7.14387166666667,0.00140000000000029,0,-3.96608761780719e-06
92,7.1439,7.1419,7.14375527777778,0.00200000000000067,59999.99999998,-1.62921304189141e-05
93,7.1423,7.1409,7.14113305555556,0.00140000000000029,51428.5714285608,-0.000367064956771463
94,7.1409,7.1409,7.1409,0,51428.5714285608,-3.26356551182336e-05
95,7.141,7.1399,7.14087166666667,0.0011000000000001,90909.0909090826,-3.96775383102475e-06
96,7.1409,7.1409,7.1409,0,90909.0909090826,3.96776957415768e-06
97,7.1409,7.1409,7.1409,0,90909.0909090826,0
98,7.1409,7.1409,7.1409,0,90909.0909090826,0
99,7.1409,7.1409,7.1409,0,90909.0909090826,0
100,7.1409,7.1403,7.14080277777778,0.000600000000000378,0,-1.36148415775749e-05
101,7.1408,7.1404,7.1405725,0.000400000000000844,857499.99999819,-3.22481638192497e-05
102,7.1408,7.1402,7.14051277777778,0.000600000000000378,983333.333332714,-8.36378626809493e-06
103,7.1403,7.1403,7.1403,0,983333.333332714,-2.97986691436731e-05
104,7.1403,7.1403,7.1403,0,983333.333332714,0
105,7.1403,7.1403,7.1403,0,983333.333332714,0
106,7.1403,7.1403,7.1403,0,983333.333332714,0
107,7.1403,7.1403,7.1403,0,983333.333332714,0
108,7.1403,7.1403,7.1403,0,983333.333332714,0
109,7.1403,7.1403,7.1403,0,983333.333332714,0
110,7.1403,7.1403,7.1403,0,983333.333332714,0
111,7.1403,7.1403,7.1403,0,983333.333332714,0
112,7.1403,7.1403,7.1403,0,983333.333332714,0
