period,position,balance,profitloss,status
0,short,100,0,live
1,short,200.019179389982,-0.0191793899816446,live
2,short,300.091929572663,-0.0919295726631617,live
3,short,400.222869473208,-0.222869473207538,live
4,short,500.002690116513,-0.00269011651306528,live
5,short,499.510848013545,0.489151986454544,exited
6,short,499.510848013545,0.489151986454544,exited
7,short,499.510848013545,0.489151986454544,exited
8,short,499.510848013545,0.489151986454544,exited
9,short,499.510848013545,0.489151986454544,exited
10,short,499.738863071334,0.261136928666531,exited
