period,position,balance,profitloss,status
0,short,100,0,live
1,short,200.010039615183,-0.0100396151830182,live
2,short,300.095017089508,-0.0950170895084739,live
3,short,400.24262640743,-0.242626407429952,live
4,short,500.025506073663,-0.0255060736625978,live
5,short,599.92066993793,0.0793300620705395,live
6,short,699.537583179266,0.462416820734461,live
7,short,799.466114611097,0.533885388903059,live
8,short,898.992134677955,1.00786532204495,live
9,short,999.1949745683,0.805025431699846,live
10,short,999.173449736454,0.826550263546096,exited
