period,position,balance,profitloss,status
0,long,100,0,live
1,long,200.01076377389,0.01076377388992,live
2,long,300.096050594343,0.0960505943431258,live
3,long,400.288685136809,0.288685136809022,live
4,long,500.23394267708,0.233942677079881,live
5,long,600.866563030999,0.866563030998805,live
6,long,700.917725690878,0.917725690878115,live
7,long,701.414524611492,1.41452461149208,exited
8,long,701.414524611492,1.41452461149208,exited
9,long,701.414524611492,1.41452461149208,exited
10,long,701.834942233973,1.8349422339727,exited
