period,position,balance,profitloss,status
0,long,100,0,live
1,long,200.021175505412,0.0211755054122591,live
2,long,300.068007994352,0.0680079943516034,live
3,long,400.118339648573,0.118339648572942,live
4,long,400.399936274435,0.399936274434651,exited
5,long,400.399936274435,0.399936274434651,exited
6,long,400.399936274435,0.399936274434651,exited
7,long,400.399936274435,0.399936274434651,exited
8,long,400.399936274435,0.399936274434651,exited
9,long,400.399936274435,0.399936274434651,exited
10,long,400.510352163235,0.510352163235268,exited
