period,maximum,minimum,mean,volatilty,fd,return
1,23.738,23.7106,23.7290147632312,0.0274000000000001,0,0
2,23.73945,23.7013,23.7234833333333,0.0381499999999981,14233.2896461344,-0.000233108283384289
3,23.726,23.702,23.7126886111111,0.0240000000000009,15999.9999999994,-0.000455022648679164
4,23.718,23.6842,23.7028563888889,0.0337999999999994,17426.0355029589,-0.000414639705495396
5,23.7161,23.68625,23.7008515277778,0.0298499999999997,11088.7772194306,-8.45831016406158e-05
6,23.73325,23.7002,23.7132995833333,0.0330499999999958,16671.7095310157,0.000525215540925606
7,23.7244,23.69645,23.7142468055556,0.0279500000000041,20822.8980321973,3.99447668128424e-05
8,23.73105,23.6868,23.7091213888889,0.0442500000000017,10779.6610169487,-0.000216132382727183
9,23.71315,23.696,23.7011386111111,0.0171500000000009,8862.97376093249,-0.000336696482625509
10,23.7148,23.6885,23.7044915277778,0.0263000000000027,21178.7072243325,0.000141466480648134
11,23.72715,23.703,23.7120438888889,0.0241500000000023,10890.2691511377,0.000318604645126703
12,23.7173,23.704,23.7138748611111,0.013300000000001,11127.8195488714,7.72169717128726e-05
13,23.71675,23.68835,23.7077626388889,0.0283999999999978,15246.4788732406,-0.000257748776108083
14,23.7055,23.691,23.7010984722222,0.0145000000000017,16206.8965517222,-0.000281096397334932
15,23.7093,23.694,23.7030995833333,0.0152999999999999,21111.1111111113,8.4431154676583e-05
16,23.71345,23.68305,23.70335625,0.0304000000000002,13322.3684210525,1.08284009761201e-05
17,23.7046,23.692,23.7008102777778,0.0125999999999991,11428.5714285723,-0.000107409777559341
18,23.709,23.697,23.7040275,0.0120000000000005,38166.6666666652,0.000135743132176317
19,23.7091,23.69115,23.7052783333333,0.017949999999999,33816.1559888598,5.27688104198177e-05
20,23.7129,23.701,23.7098248611111,0.0118999999999971,18067.2268907607,0.000191793899816418
21,23.718,23.708,23.7140615277778,0.0100000000000016,32899.9999999949,0.000178688231207322
22,23.7164,23.706,23.7138070833333,0.0104000000000006,26538.4615384599,-1.07296864413481e-05
23,23.7186,23.708,23.7142894444444,0.0106000000000037,27075.4716981037,2.03409393275416e-05
24,23.7153,23.704,23.7118852777778,0.0112999999999985,47433.6283185902,-0.00010138050614184
25,23.71595,23.706,23.7127115277778,0.0099499999999999,33567.8391959802,3.48453946334166e-05
26,23.7128,23.7,23.70817,0.0128000000000021,40624.9999999932,-0.000191522921048418
27,23.7181,23.6995,23.7112991666667,0.0185999999999993,25322.5806451623,0.00013198684954022
28,23.7317,23.707,23.7176881944444,0.0246999999999993,17044.534412956,0.000269450768296866
29,23.7233,23.711,23.7189005555556,0.0123000000000033,20243.9024390189,5.11163272394916e-05
30,23.73385,23.717,23.7275275,0.0168500000000016,28783.3827893148,0.000363716034149269
31,23.7516,23.726,23.7372069444444,0.0256000000000043,14140.6249999976,0.000407941554148199
32,23.76295,23.728,23.7362706944444,0.0349499999999985,9041.4878397715,-3.94422984216294e-05
33,23.739,23.723,23.7318626388889,0.0160000000000018,10812.4999999988,-0.000185709693502669
34,23.7314,23.711,23.7237369444444,0.0204000000000022,24950.9803921542,-0.00034239598332774
35,23.72445,23.711,23.7186015277778,0.0134499999999989,27657.9925650581,-0.000216467442658414
36,23.73755,23.7082,23.7222565277778,0.0293499999999973,16592.8449744478,0.000154098461316172
37,23.7377,23.722,23.7303873611111,0.0156999999999989,13630.5732484086,0.000342751260775218
38,23.7421,23.722,23.7342644444444,0.0200999999999993,23980.0995024883,0.000163380532914775
39,23.734,23.718,23.7277566666667,0.0160000000000018,19499.9999999978,-0.000274193362638657
40,23.7542,23.72715,23.7381098611111,0.0270499999999956,24399.2606284698,0.00043633262890753
41,23.7529,23.7242,23.7351136111111,0.0286999999999971,8919.86062717862,-0.00012622108573653
42,23.7384,23.7204,23.7312020833333,0.0180000000000007,13222.2222222217,-0.000164799201801285
43,23.73815,23.7137,23.7245443055555,0.0244499999999945,15010.2249488786,-0.000280549537878578
44,23.7441,23.7161,23.7277419444444,0.0280000000000058,11821.4285714261,0.000134781888651062
45,23.73295,23.716,23.7226566666667,0.0169500000000014,13333.3333333323,-0.000214317813708527
46,23.7232,23.701,23.7101511111111,0.022199999999998,16576.5765765781,-0.00052715662209655
