period,maximum,minimum,mean,volatilty,fd,return
1,142.0425,141.9355,141.985254874652,0.106999999999999,0,0
2,141.9995,141.853,141.928020833333,0.146500000000003,1351.53583617745,-0.000403098486311389
3,141.904,141.763,141.841775,0.14100000000002,1432.62411347498,-0.000607673050232784
4,141.8755,141.8055,141.837118055556,0.0699999999999932,2614.28571428597,-3.28319667775086e-05
5,141.906,141.7865,141.831130555556,0.119500000000016,2694.5606694557,-4.22139146794404e-05
6,141.96,141.874,141.905588888889,0.0860000000000127,1906.97674418576,0.000524978776109803
7,141.939,141.819,141.862931944444,0.119999999999976,2108.33333333375,-0.000300600876811451
8,141.872,141.697,141.789448611111,0.175000000000011,1331.42857142849,-0.000517988260401384
9,141.8045,141.725,141.764984722222,0.0795000000000243,1710.69182389885,-0.000172536737595842
10,141.826,141.7445,141.793452777778,0.0815000000000055,3141.10429447832,0.000200811615162451
11,141.843,141.786,141.817019444444,0.0570000000000164,3508.77192982355,0.000166204194939716
12,141.805,141.718,141.749230555556,0.0869999999999891,4655.17241379369,-0.000478002493314564
13,141.745,141.637,141.703380555556,0.108000000000004,2564.81481481472,-0.000323458545914516
14,141.736,141.651,141.691780555556,0.0849999999999795,2364.70588235351,-8.18611380655648e-05
15,141.76,141.6945,141.729256944444,0.0654999999999859,3175.57251908465,0.000264492327938605
16,141.767,141.7155,141.744279166667,0.0514999999999759,4194.17475728352,0.000105992386795034
17,141.81,141.728,141.765379166667,0.0819999999999936,3890.24390243933,0.000148859623288076
18,141.818,141.733,141.775273611111,0.0849999999999795,1717.64705882394,6.97945048545535e-05
19,141.7785,141.725,141.757868055556,0.0535000000000139,2411.2149532704,-0.00012276862609544
20,141.789,141.7525,141.7721,0.0364999999999895,6520.54794520735,0.000100396151830311
21,141.7885,141.734,141.758156944444,0.0545000000000186,7798.16513761201,-9.83483742963966e-05
22,141.7575,141.6825,141.726681944444,0.0749999999999886,3533.33333333387,-0.000222033078578378
23,141.72,141.6735,141.697413888889,0.0465000000000089,3526.88172042944,-0.000206510553651775
24,141.6955,141.6455,141.6735875,0.0500000000000114,6299.99999999857,-0.000168149779413586
25,141.7325,141.6655,141.707819444444,0.0670000000000073,4656.71641790994,0.000241625450788115
26,141.7085,141.6565,141.683598611111,0.0520000000000209,3384.61538461402,-0.000170920937378764
27,141.7585,141.6835,141.714638888889,0.0750000000000171,3906.66666666578,0.000219081658583529
28,141.795,141.7035,141.733055555556,0.0915000000000248,2043.71584699398,0.00012995599333304
29,141.7905,141.7115,141.737484722222,0.0790000000000077,2443.0379746833,3.12500612459183e-05
30,141.8375,141.7665,141.797704166667,0.070999999999998,2802.81690140853,0.000424866044169335
31,141.943,141.8185,141.893934722222,0.124499999999983,2329.31726907662,0.000678646781491104
32,142.025,141.897,141.941523611111,0.127999999999986,1132.81250000012,0.000335383531241544
33,141.905,141.8375,141.876519444444,0.067499999999967,1866.66666666758,-0.000457964413886039
34,141.9,141.776,141.834551388889,0.123999999999995,2556.45161290332,-0.000295806915195553
35,141.831,141.7425,141.786255555556,0.0885000000000105,1457.6271186439,-0.000340508239074524
36,141.897,141.775,141.82535,0.121999999999986,2368.85245901667,0.000275728026607712
37,141.917,141.8625,141.889945833333,0.0544999999999902,2587.15596330322,0.00045546041898262
38,141.955,141.868,141.915879166667,0.0869999999999891,3068.96551724176,0.0001827707606836
39,141.945,141.8255,141.863538888889,0.119499999999988,1899.58158995835,-0.000368811989786401
40,141.9865,141.874,141.933318055556,0.112500000000011,1199.99999999988,0.000491875271216107
41,142.018,141.915,141.9669875,0.10299999999998,1747.57281553432,0.000237220160182888
42,142.025,141.945,141.9815,0.0799999999999841,2300.00000000046,0.000102224469614776
43,142.0265,141.91,141.952220833333,0.116500000000002,1974.24892703859,-0.000206218181006964
44,142.03,141.921,141.970290277778,0.109000000000009,1706.42201834848,0.000127292439233035
45,141.984,141.875,141.932073611111,0.109000000000009,2009.17431192644,-0.00026918777577968
46,141.881,141.774,141.823445833333,0.106999999999999,1775.70093457945,-0.000765350459652816
47,141.875,141.777,141.815065277778,0.0980000000000132,2612.24489795883,-5.90914676083245e-05
48,141.893,141.8275,141.8634,0.0655000000000143,3404.58015267101,0.000340829249188352
49,141.908,141.8225,141.863495833333,0.0855000000000246,4070.17543859532,6.75532472214476e-07
50,141.8485,141.5995,141.786538888889,0.249000000000024,1309.23694779104,-0.000542471789464847
51,141.7245,141.5285,141.666158333333,0.195999999999998,688.775510204089,-0.000849026688280278
52,141.8025,141.698,141.755052777778,0.104500000000002,1167.46411483252,0.000627492447669112
53,141.8105,141.648,141.729711111111,0.162499999999994,1495.38461538467,-0.000178770817477791
54,141.716,141.6125,141.663070833333,0.103499999999997,1227.05314009666,-0.000470192715806224
55,141.6485,141.5425,141.606147222222,0.105999999999995,2103.77358490577,-0.000401823924726813
56,141.644,141.505,141.587927777778,0.13900000000001,1618.70503597111,-0.000128662807383982
