period,position,balance,profitloss,status
0,long,100,0,live
1,long,200.01173771394,0.011737713939624,live
2,long,300.059115971699,0.0591159716987022,live
3,long,400.089137843009,0.0891378430087002,live
4,long,500.008415691027,0.00841569102698259,live
5,long,600.264828218205,0.264828218205253,live
6,long,700.356127123257,0.35612712325667,live
7,long,800.376769514597,0.376769514596958,live
8,long,900.456497359364,0.456497359363766,live
9,long,1000.57335299775,0.573352997750817,live
10,long,1000.44973522043,0.449735220427897,exited
